OutputID,OutputName,OutputType,ComponentCategory,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
ship-component-heat-sink-xxs-t1,Heat Sink XXS T1,SHIP_COMPONENTS,THERMAL,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,,,
ship-component-heat-sink-xs-t1,Heat Sink XS T1,SHIP_COMPONENTS,THERMAL,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,,,
ship-component-heat-sink-s-t1,Heat Sink S T1,SHIP_COMPONENTS,THERMAL,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,,,
ship-component-heat-sink-m-t1,Heat Sink M T1,SHIP_COMPONENTS,THERMAL,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,,,,
ship-component-heat-sink-l-t1,Heat Sink L T1,SHIP_COMPONENTS,THERMAL,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-heat-sink-cap-t1,Heat Sink CAP T1,SHIP_COMPONENTS,THERMAL,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-heat-sink-cmd-t1,Heat Sink CMD T1,SHIP_COMPONENTS,THERMAL,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-heat-sink-class8-t1,Heat Sink CLASS8 T1,SHIP_COMPONENTS,THERMAL,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-heat-sink-ttn-t1,Heat Sink TTN T1,SHIP_COMPONENTS,THERMAL,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-hull-reinforcement-xxs-t1,Hull Reinforcement XXS T1,SHIP_COMPONENTS,KINETIC,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-xs-t1,Hull Reinforcement XS T1,SHIP_COMPONENTS,KINETIC,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-s-t1,Hull Reinforcement S T1,SHIP_COMPONENTS,KINETIC,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-m-t1,Hull Reinforcement M T1,SHIP_COMPONENTS,KINETIC,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,,,,,,,,,,,,,,,,
ship-component-hull-reinforcement-l-t1,Hull Reinforcement L T1,SHIP_COMPONENTS,KINETIC,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-hull-reinforcement-cap-t1,Hull Reinforcement CAP T1,SHIP_COMPONENTS,KINETIC,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-hull-reinforcement-cmd-t1,Hull Reinforcement CMD T1,SHIP_COMPONENTS,KINETIC,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-hull-reinforcement-class8-t1,Hull Reinforcement CLASS8 T1,SHIP_COMPONENTS,KINETIC,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-hull-reinforcement-ttn-t1,Hull Reinforcement TTN T1,SHIP_COMPONENTS,KINETIC,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Structural Framework,1,Armor Plating,1,Reinforcement Matrix,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-maneuvering-thrusters-xxs-t1,Maneuvering Thrusters XXS T1,SHIP_COMPONENTS,PROPULSION,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,,,,,,,,,,,,,,,,
ship-component-maneuvering-thrusters-xs-t1,Maneuvering Thrusters XS T1,SHIP_COMPONENTS,PROPULSION,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,,,,,,,,,,,,,,,,
ship-component-maneuvering-thrusters-s-t1,Maneuvering Thrusters S T1,SHIP_COMPONENTS,PROPULSION,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,,,,,,,,,,,,,,,,
ship-component-maneuvering-thrusters-m-t1,Maneuvering Thrusters M T1,SHIP_COMPONENTS,PROPULSION,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,,,,,,,,,,,,,,,,
ship-component-maneuvering-thrusters-l-t1,Maneuvering Thrusters L T1,SHIP_COMPONENTS,PROPULSION,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,Thrust Amplification Module,1,,,,,,,,,,,,,,
ship-component-maneuvering-thrusters-cap-t1,Maneuvering Thrusters CAP T1,SHIP_COMPONENTS,PROPULSION,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,Thrust Amplification Module,1,Propulsion Coordination Hub,1,,,,,,,,,,,,
ship-component-maneuvering-thrusters-cmd-t1,Maneuvering Thrusters CMD T1,SHIP_COMPONENTS,PROPULSION,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,Thrust Amplification Module,1,Propulsion Coordination Hub,1,Advanced Navigation Core,1,,,,,,,,,,
ship-component-maneuvering-thrusters-class8-t1,Maneuvering Thrusters CLASS8 T1,SHIP_COMPONENTS,PROPULSION,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,10,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,Thrust Amplification Module,1,Propulsion Coordination Hub,1,Advanced Navigation Core,1,Massive Drive Assembly,1,,,,,,,,
ship-component-maneuvering-thrusters-ttn-t1,Maneuvering Thrusters TTN T1,SHIP_COMPONENTS,PROPULSION,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,11,Propulsion Core,1,Engine Manifold,1,Thrust Vectoring,1,Thrust Amplification Module,1,Propulsion Coordination Hub,1,Advanced Navigation Core,1,Massive Drive Assembly,1,Titan Propulsion Matrix,1,,,,,,
ship-component-power-core-xxs-t1,Power Core XXS T1,SHIP_COMPONENTS,ENERGY,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Power Generator,1,Energy Regulator,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-power-core-xs-t1,Power Core XS T1,SHIP_COMPONENTS,ENERGY,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Power Generator,1,Energy Regulator,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-power-core-s-t1,Power Core S T1,SHIP_COMPONENTS,ENERGY,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Power Generator,1,Energy Regulator,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-power-core-m-t1,Power Core M T1,SHIP_COMPONENTS,ENERGY,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Power Generator,1,Energy Regulator,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-power-core-l-t1,Power Core L T1,SHIP_COMPONENTS,ENERGY,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Power Generator,1,Energy Regulator,1,Power Conduit,1,Power Distribution Network,1,,,,,,,,,,,,,,
ship-component-power-core-cap-t1,Power Core CAP T1,SHIP_COMPONENTS,ENERGY,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Power Generator,1,Energy Regulator,1,Power Conduit,1,Power Distribution Network,1,Energy Regulation System,1,,,,,,,,,,,,
ship-component-power-core-cmd-t1,Power Core CMD T1,SHIP_COMPONENTS,ENERGY,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Power Generator,1,Energy Regulator,1,Power Conduit,1,Power Distribution Network,1,Energy Regulation System,1,Advanced Power Matrix,1,,,,,,,,,,
ship-component-power-core-class8-t1,Power Core CLASS8 T1,SHIP_COMPONENTS,ENERGY,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Power Generator,1,Energy Regulator,1,Power Conduit,1,Power Distribution Network,1,Energy Regulation System,1,Advanced Power Matrix,1,Gigascale Power Grid,1,,,,,,,,
ship-component-power-core-ttn-t1,Power Core TTN T1,SHIP_COMPONENTS,ENERGY,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,9,Power Generator,1,Energy Regulator,1,Power Conduit,1,Power Distribution Network,1,Energy Regulation System,1,Advanced Power Matrix,1,Gigascale Power Grid,1,Titan Energy Core,1,,,,,,
ship-component-scanner-array-xxs-t1,Scanner Array XXS T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Sensor Module,1,Detection Matrix,1,Signal Processor,1,,,,,,,,,,,,,,,,
ship-component-scanner-array-xs-t1,Scanner Array XS T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Sensor Module,1,Detection Matrix,1,Signal Processor,1,,,,,,,,,,,,,,,,
ship-component-scanner-array-s-t1,Scanner Array S T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Sensor Module,1,Detection Matrix,1,Signal Processor,1,,,,,,,,,,,,,,,,
ship-component-scanner-array-m-t1,Scanner Array M T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Sensor Module,1,Detection Matrix,1,Signal Processor,1,,,,,,,,,,,,,,,,
ship-component-scanner-array-l-t1,Scanner Array L T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Sensor Module,1,Detection Matrix,1,Signal Processor,1,Sensor Array Expansion,1,,,,,,,,,,,,,,
ship-component-scanner-array-cap-t1,Scanner Array CAP T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Sensor Module,1,Detection Matrix,1,Signal Processor,1,Sensor Array Expansion,1,Multi-Spectrum Integration,1,,,,,,,,,,,,
ship-component-scanner-array-cmd-t1,Scanner Array CMD T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Sensor Module,1,Detection Matrix,1,Signal Processor,1,Sensor Array Expansion,1,Multi-Spectrum Integration,1,Advanced Processing Core,1,,,,,,,,,,
ship-component-scanner-array-class8-t1,Scanner Array CLASS8 T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Sensor Module,1,Detection Matrix,1,Signal Processor,1,Sensor Array Expansion,1,Multi-Spectrum Integration,1,Advanced Processing Core,1,Deep Space Sensor Network,1,,,,,,,,
ship-component-scanner-array-ttn-t1,Scanner Array TTN T1,SHIP_COMPONENTS,ELECTROMAGNETIC,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Sensor Module,1,Detection Matrix,1,Signal Processor,1,Sensor Array Expansion,1,Multi-Spectrum Integration,1,Advanced Processing Core,1,Deep Space Sensor Network,1,Titan Sensor Grid,1,,,,,,
ship-component-shield-generator-xxs-t1,Shield Generator XXS T1,SHIP_COMPONENTS,ENERGY,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,,,,,,,,,,,,,,,,
ship-component-shield-generator-xs-t1,Shield Generator XS T1,SHIP_COMPONENTS,ENERGY,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,,,,,,,,,,,,,,,,
ship-component-shield-generator-s-t1,Shield Generator S T1,SHIP_COMPONENTS,ENERGY,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,,,,,,,,,,,,,,,,
ship-component-shield-generator-m-t1,Shield Generator M T1,SHIP_COMPONENTS,ENERGY,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,,,,,,,,,,,,,,,,
ship-component-shield-generator-l-t1,Shield Generator L T1,SHIP_COMPONENTS,ENERGY,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,Defense Layer Integration,1,,,,,,,,,,,,,,
ship-component-shield-generator-cap-t1,Shield Generator CAP T1,SHIP_COMPONENTS,ENERGY,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,Defense Layer Integration,1,Defensive Coordination Node,1,,,,,,,,,,,,
ship-component-shield-generator-cmd-t1,Shield Generator CMD T1,SHIP_COMPONENTS,ENERGY,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,Defense Layer Integration,1,Defensive Coordination Node,1,Advanced Defense Matrix,1,,,,,,,,,,
ship-component-shield-generator-class8-t1,Shield Generator CLASS8 T1,SHIP_COMPONENTS,ENERGY,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,Defense Layer Integration,1,Defensive Coordination Node,1,Advanced Defense Matrix,1,Planetary Defense Grid,1,,,,,,,,
ship-component-shield-generator-ttn-t1,Shield Generator TTN T1,SHIP_COMPONENTS,ENERGY,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,10,Shield Emitter,1,Field Stabilizer,1,Energy Distributor,1,Defense Layer Integration,1,Defensive Coordination Node,1,Advanced Defense Matrix,1,Planetary Defense Grid,1,Titan Defense Network,1,,,,,,
ship-component-tractor-beam-xxs-t1,Tractor Beam XXS T1,SHIP_COMPONENTS,PROPULSION,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Graviton Emitter,1,Field Projector,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-tractor-beam-xs-t1,Tractor Beam XS T1,SHIP_COMPONENTS,PROPULSION,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Graviton Emitter,1,Field Projector,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-tractor-beam-s-t1,Tractor Beam S T1,SHIP_COMPONENTS,PROPULSION,,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Graviton Emitter,1,Field Projector,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-tractor-beam-m-t1,Tractor Beam M T1,SHIP_COMPONENTS,PROPULSION,,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Graviton Emitter,1,Field Projector,1,Power Conduit,1,,,,,,,,,,,,,,,,
ship-component-tractor-beam-l-t1,Tractor Beam L T1,SHIP_COMPONENTS,PROPULSION,,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Graviton Emitter,1,Field Projector,1,Power Conduit,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-tractor-beam-cap-t1,Tractor Beam CAP T1,SHIP_COMPONENTS,PROPULSION,,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Graviton Emitter,1,Field Projector,1,Power Conduit,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-tractor-beam-cmd-t1,Tractor Beam CMD T1,SHIP_COMPONENTS,PROPULSION,,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Graviton Emitter,1,Field Projector,1,Power Conduit,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-tractor-beam-class8-t1,Tractor Beam CLASS8 T1,SHIP_COMPONENTS,PROPULSION,,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,7,Graviton Emitter,1,Field Projector,1,Power Conduit,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-tractor-beam-ttn-t1,Tractor Beam TTN T1,SHIP_COMPONENTS,PROPULSION,,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,8,Graviton Emitter,1,Field Projector,1,Power Conduit,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-subwarp-engine-xxs-t1,Subwarp Engine XXS T1,SHIP_COMPONENTS,PROPULSION,,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Propulsion Core,1,Engine Manifold,1,Fuel Injector,1,,,,,,,,,,,,,,,,
ship-component-subwarp-engine-xs-t1,Subwarp Engine XS T1,SHIP_COMPONENTS,PROPULSION,,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,6,Propulsion Core,1,Engine Manifold,1,Fuel Injector,1,,,,,,,,,,,,,,,,
