OutputID,OutputName,OutputType,OutputTier,BuildingResourceTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7
oceanic-central-hub-t1,Oceanic Central Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-central-hub-t2,Oceanic Central Hub,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Structural Shell,21,,,,,,
oceanic-central-hub-t3,Oceanic Central Hub,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,29,Copper,22,Structural Shell,25,Transfer Lines,23,,,,
oceanic-central-hub-t4,Oceanic Central Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,44,Bio Stabilizer,35,Copper,26,Structural Shell,30,Transfer Lines,27,Processing Core,25,,
oceanic-central-hub-t5,Oceanic Central Hub,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,52,Bio Stabilizer,41,Copper,32,Structural Shell,35,Transfer Lines,32,Processing Core,30,Copper,27
oceanic-cultivation-hub-t1,Oceanic Cultivation Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-cultivation-hub-t2,Oceanic Cultivation Hub,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Copper,21,,,,,,
oceanic-cultivation-hub-t3,Oceanic Cultivation Hub,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,28,Copper,22,Copper,25,Processing Core,23,,,,
oceanic-cultivation-hub-t4,Oceanic Cultivation Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,43,Bio Stabilizer,34,Copper,27,Copper,30,Processing Core,28,Base Structure,25,,
oceanic-cultivation-hub-t5,Oceanic Cultivation Hub,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,51,Bio Stabilizer,41,Copper,33,Copper,35,Processing Core,33,Base Structure,30,Alloy Frame,27
oceanic-processing-hub-t1,Oceanic Processing Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-processing-hub-t2,Oceanic Processing Hub,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,29,Copper,24,Copper,18,Chromite,21,,,,,,
oceanic-processing-hub-t3,Oceanic Processing Hub,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,35,Copper,29,Copper,21,Chromite,25,Temperature Sensor,23,,,,
oceanic-processing-hub-t4,Oceanic Processing Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,42,Bio Stabilizer,34,Copper,25,Chromite,29,Temperature Sensor,27,Processing Core,25,,
oceanic-processing-hub-t5,Oceanic Processing Hub,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,50,Bio Stabilizer,41,Copper,30,Chromite,35,Temperature Sensor,32,Processing Core,30,Sensor Array,27
oceanic-extraction-hub-t1,Oceanic Extraction Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
oceanic-extraction-hub-t2,Oceanic Extraction Hub,BUILDING,2,1,135,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Copper,24,Copper,18,Chromite,21,,,,,,
oceanic-extraction-hub-t3,Oceanic Extraction Hub,BUILDING,3,1,180,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,29,Copper,22,Chromite,25,Kinetic Stabilizer,23,,,,
oceanic-extraction-hub-t4,Oceanic Extraction Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,42,Bio Stabilizer,35,Copper,27,Chromite,29,Kinetic Stabilizer,27,Copper,25,,
oceanic-extraction-hub-t5,Oceanic Extraction Hub,BUILDING,5,1,360,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,49,Bio Stabilizer,42,Copper,32,Chromite,34,Kinetic Stabilizer,32,Copper,30,Heat Circulation Pipes,27
oceanic-storage-hub-t1,Oceanic Storage Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
