OutputID,OutputName,OutputType,OutputTier,BuildingResourceTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7
central-hub-t1,Central Hub,BUILDING,1,1,90,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Copper,20,Copper Ore,15,,,,,,,,
central-hub-t2,Central Hub,BUILDING,2,1,135,Volcanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Insulation Material,24,Copper,18,Copper,21,,,,,,
central-hub-t3,Central Hub,BUILDING,3,1,180,Terrestrial Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,29,Copper,22,Copper,25,Base Structure,23,,,,
central-hub-t4,Central Hub,BUILDING,4,1,270,Barren Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,42,Bio Stabilizer,35,Copper,26,Copper,30,Base Structure,28,Copper Wire,25,,
central-hub-t5,Central Hub,BUILDING,5,1,360,Dark Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,50,Bio Stabilizer,42,Copper,30,Copper,36,Base Structure,33,Copper Wire,29,Chromite,27
cultivation-hub-t1,Cultivation Hub,BUILDING,1,1,90,Ice Giant,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Load Bearing Beams,20,Copper Ore,15,,,,,,,,
cultivation-hub-t2,Cultivation Hub,BUILDING,2,1,135,Gas Giant,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Inert Gas Canisters,24,Copper,18,Temperature Sensor,21,,,,,,
cultivation-hub-t3,Cultivation Hub,BUILDING,3,1,180,System Asteroid Belt,MUD;ONI;USTUR,Infrastructure,,Chromite,36,Copper,28,Copper,22,Temperature Sensor,25,Control Circuit,23,,,,
cultivation-hub-t4,Cultivation Hub,BUILDING,4,1,270,Oceanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,42,Bio Stabilizer,34,Copper,26,Temperature Sensor,30,Control Circuit,28,Processing Core,25,,
cultivation-hub-t5,Cultivation Hub,BUILDING,5,1,360,Volcanic Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,49,Bio Stabilizer,40,Copper,31,Temperature Sensor,35,Control Circuit,34,Processing Core,30,Base Structure,27
processing-hub-t1,Processing Hub,BUILDING,1,1,90,Terrestrial Planet,MUD;ONI;USTUR,Infrastructure,,Chromite Ore,25,Framework,20,Copper Ore,15,,,,,,,,
processing-hub-t2,Processing Hub,BUILDING,2,1,135,Barren Planet,MUD;ONI;USTUR,Infrastructure,,Chromite,30,Structural Joint,24,Copper,18,Copper Wire,21,,,,,,
