"OutputID","OutputName","OutputType","OutputTier","ConstructionTime","PlanetTypes","Factions","ResourceType","FunctionalPurpose","UsageCategory","Ingredients","CompletionStatus"
"1","Heat Sink XXS T1","SHIP_COMPONENTS","1","120","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"2","Heat Sink XXS T2","SHIP_COMPONENTS","2","240","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XXS T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"3","Heat Sink XXS T3","SHIP_COMPONENTS","3","600","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XXS T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"4","Heat Sink XXS T4","SHIP_COMPONENTS","4","1200","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XXS T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"5","Heat Sink XXS T5","SHIP_COMPONENTS","5","2400","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XXS T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"6","Heat Sink XS T1","SHIP_COMPONENTS","1","180","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"7","Heat Sink XS T2","SHIP_COMPONENTS","2","360","Terrestrial Planet","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XS T1:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"8","Heat Sink XS T3","SHIP_COMPONENTS","3","900","Terrestrial Planet;Volcanic Planet;Gas Giant","MUD;ONI;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XS T2:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"9","Heat Sink XS T4","SHIP_COMPONENTS","4","1800","Volcanic Planet;Ice Planet","MUD;USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XS T3:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
"10","Heat Sink XS T5","SHIP_COMPONENTS","5","3600","Volcanic Planet;Ice Planet","USTUR","ELECTRONIC_COMPONENT","CONTROL_SYSTEM","Ship Components","Heat Sink XS T4:1;Thermal Regulator:1;Heat Exchanger:1;Radiator Assembly:1","complete"
