OutputID,OutputName,ComponentCategory,OutputType,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Column 28,Column 29
abyssal-chromite,Abyssal Chromite,KINETIC,BASIC RESOURCE,,1,,Oceanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
abyssal-energy-crystals,Abyssal Energy Crystals,"ENERGY, ELECTROMAGNETIC",BASIC RESOURCE,,4,,Oceanic Planet,MUD;ONI;USTUR,DATA_CRYSTAL,0,,,,,,,,,,,,,,,,,,
aluminum-ore,Aluminum Ore,THERMAL;KINETIC;HABITAT,BASIC RESOURCE,,2,,System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
amber-resin,Amber Resin,UTILITY;HABITAT,BASIC RESOURCE,,2,,Terrestrial Planet,USTUR,BIO_SYSTEM,0,,,,,,,,,,,,,,,,,,
arco,Arco,KINETIC,BASIC RESOURCE,,1,,Barren Planet;Dark Planet;Ice Giant;Volcanic Planet,MUD;ONI;USTUR,EXOTIC_TECH,0,,,,,,,,,,,,,,,,,,
argon,Argon,THERMAL;UTILITY,BASIC RESOURCE,,2,,Gas Giant;Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,PROPELLANT_GAS,0,,,,,,,,,,,,,,,,,,
bathysphere-pearls,Bathysphere Pearls,UTILITY,BASIC RESOURCE,,3,,Oceanic Planet,MUD;ONI;USTUR,INDUSTRIAL_CORE,0,,,,,,,,,,,,,,,,,,
beryllium-crystals,Beryllium Crystals,"UTILITY, KINETIC",BASIC RESOURCE,,5,,Dark Planet;Ice Giant,MUD;ONI;USTUR,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
biolumite,Biolumite,"UTILITY, ELECTROMAGNETIC",BASIC RESOURCE,,5,,Ice Giant,MUD,ENERGY_MATRIX,0,,,,,,,,,,,,,,,,,,
biomass,Biomass,,BASIC RESOURCE,,1,,Terrestrial Planet;Oceanic Planet,MUD;ONI;USTUR,BIO_SYSTEM,0,,,,,,,,,,,,,,,,,,
