OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9
chromite-ore,Chromite Ore,BASIC RESOURCE,1,,Oceanic Planet;System Asteroid Belt;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
abyssal-energy-crystals,Abyssal Energy Crystals,BASIC RESOURCE,4,,Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
aluminum-ore,Aluminum Ore,BASIC RESOURCE,2,,System Asteroid Belt;Terrestrial Planet;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
amber-resin,Amber Resin,BASIC RESOURCE,2,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,USTUR,0,,,,,,,,,,,,,,,,,,
arco,Arco,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
argon,Argon,BASIC RESOURCE,2,,Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
bathysphere-pearls,Bathysphere Pearls,BASIC RESOURCE,3,,Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
beryllium-crystals,Beryllium Crystals,BASIC RESOURCE,5,,Dark Planet;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
biolumite,Biolumite,BASIC RESOURCE,5,,Ice Giant,MUD,0,,,,,,,,,,,,,,,,,,
biomass,Biomass,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
black-opal,Black Opal,BASIC RESOURCE,5,,Barren Planet,USTUR,0,,,,,,,,,,,,,,,,,,
boron-ore,Boron Ore,BASIC RESOURCE,2,,Terrestrial Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
carbon,Carbon,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
cinnabar-crystals,Cinnabar Crystals,BASIC RESOURCE,3,,Volcanic Planet,MUD,0,,,,,,,,,,,,,,,,,,
cobalt-ore,Cobalt Ore,BASIC RESOURCE,2,,Terrestrial Planet;Volcanic Planet,ONI,0,,,,,,,,,,,,,,,,,,
copper-ore,Copper Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
cryo-formation-crystals,Cryo Formation Crystals,BASIC RESOURCE,3,,Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
diamond,Diamond,BASIC RESOURCE,2,,Terrestrial Planet;Volcanic Planet,MUD,0,,,,,,,,,,,,,,,,,,
dodiline-crystals,Dodiline Crystals,BASIC RESOURCE,4,,Volcanic Planet,USTUR,0,,,,,,,,,,,,,,,,,,
drywater,Drywater,BASIC RESOURCE,3,,Ice Giant;Barren Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
dysprosium,Dysprosium,BASIC RESOURCE,4,,Terrestrial Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
emerald-crystals,Emerald Crystals,BASIC RESOURCE,3,,Dark Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
fluorine-gas,Fluorine Gas,BASIC RESOURCE,2,,Gas Giant;Volcanic Planet;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
fusion-catalyst-deposits,Fusion Catalyst Deposits,BASIC RESOURCE,5,,Dark Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
garnet-crystals,Garnet Crystals,BASIC RESOURCE,2,,Terrestrial Planet;System Asteroid Belt,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
germanium,Germanium,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,USTUR,0,,,,,,,,,,,,,,,,,,
glowstone-crystals,Glowstone Crystals,BASIC RESOURCE,3,,Volcanic Planet,ONI,0,,,,,,,,,,,,,,,,,,
gold-ore,Gold Ore,BASIC RESOURCE,3,,Terrestrial Planet,ONI,0,,,,,,,,,,,,,,,,,,
hafnium-ore,Hafnium Ore,BASIC RESOURCE,2,,Volcanic Planet;System Asteroid Belt;Ice Giant,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
hicenium-crystals,Hicenium Crystals,BASIC RESOURCE,4,,Ice Giant,MUD,0,,,,,,,,,,,,,,,,,,
hydrogen,Hydrogen,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
ink,Ink,BASIC RESOURCE,1,,,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
iridium-ore,Iridium Ore,BASIC RESOURCE,4,,Volcanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
iron-ore,Iron Ore,BASIC RESOURCE,1,,Terrestrial Planet;System Asteroid Belt;Oceanic Planet,MUD;ONI;USTUR,0,,,,,,,,,,,,,,,,,,
jasphorus-crystals,Jasphorus Crystals,BASIC RESOURCE,5,,Barren Planet,ONI,0,,,,,,,,,,,,,,,,,,
