OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,FunctionalPurpose,UsageCategory,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,CompletionStatus,InternalRecipeID,ProductionSteps,NOT_USED
aegis-barrier-cactus,Aegis Barrier Cactus,BASIC ORGANIC RESOURCE,2,,Barren Planet,USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
bioluminous-algae,Bioluminous Algae,BASIC ORGANIC RESOURCE,2,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
cinder-crown-blossom,Cinder-Crown Blossom,BASIC ORGANIC RESOURCE,2,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
magma-heart-bryophyte,Magma-Heart Bryophyte,BASIC ORGANIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
marine-bio-extract,Marine Bio Extract,BASIC ORGANIC RESOURCE,1,,Oceanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
obsidian-shell-tuber,Obsidian Shell Tuber,BASIC ORGANIC RESOURCE,1,,Volcanic Planet;,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
plasma-burn-lichen,Plasma-Burn Lichen,BASIC ORGANIC RESOURCE,3,,System Asteroid Belt,MUD,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
pyroclast-energen,Pyroclast Energen,BASIC ORGANIC RESOURCE,1,,Volcanic Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
shadow-sight-fronds,Shadow-Sight Fronds,BASIC ORGANIC RESOURCE,1,,Dark Planet,MUD;ONI;USTUR,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
spectral-shade-moss,Spectral Shade Moss,BASIC ORGANIC RESOURCE,3,,Dark Planet,ONI,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
