OutputID,OutputName,OutputType,ComponentCategory,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
energy-rapidfire-xxxs-t1,Energy Rapidfire XXXS T1,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,,,
energy-rapidfire-xxxs-t2,Energy Rapidfire XXXS T2,SHIP_WEAPONS,ENERGY,XXXS,2,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXXS T1,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxxs-t3,Energy Rapidfire XXXS T3,SHIP_WEAPONS,ENERGY,XXXS,3,180,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXXS T2,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxxs-t4,Energy Rapidfire XXXS T4,SHIP_WEAPONS,ENERGY,XXXS,4,240,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXXS T3,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxxs-t5,Energy Rapidfire XXXS T5,SHIP_WEAPONS,ENERGY,XXXS,5,300,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXXS T4,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxs-t1,Energy Rapidfire XXS T1,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,,,
energy-rapidfire-xxs-t2,Energy Rapidfire XXS T2,SHIP_WEAPONS,ENERGY,XXS,2,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXS T1,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxs-t3,Energy Rapidfire XXS T3,SHIP_WEAPONS,ENERGY,XXS,3,360,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXS T2,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxs-t4,Energy Rapidfire XXS T4,SHIP_WEAPONS,ENERGY,XXS,4,480,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXS T3,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xxs-t5,Energy Rapidfire XXS T5,SHIP_WEAPONS,ENERGY,XXS,5,600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,3,Energy Rapidfire XXS T4,1,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-xs-t1,Energy Rapidfire XS T1,SHIP_WEAPONS,ENERGY,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,,,
energy-rapidfire-xs-t2,Energy Rapidfire XS T2,SHIP_WEAPONS,ENERGY,XS,2,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Energy Rapidfire XS T1,1,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,
