OutputID,OutputName,OutputType,ComponentCategory,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
energy-rapidfire-xxxs-t1,Energy Rapidfire XXXS T1,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,,,
energy-rapidfire-xxs-t1,Energy Rapidfire XXS T1,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,,,
energy-rapidfire-xs-t1,Energy Rapidfire XS T1,SHIP_WEAPONS,ENERGY,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,,,
energy-rapidfire-s-t1,Energy Rapidfire S T1,SHIP_WEAPONS,ENERGY,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,,,
energy-rapidfire-m-t1,Energy Rapidfire M T1,SHIP_WEAPONS,ENERGY,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-l-t1,Energy Rapidfire L T1,SHIP_WEAPONS,ENERGY,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,,,
energy-rapidfire-cap-t1,Energy Rapidfire CAP T1,SHIP_WEAPONS,ENERGY,CAP,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,,,
energy-rapidfire-cmd-t1,Energy Rapidfire CMD T1,SHIP_WEAPONS,ENERGY,CMD,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-class8-t1,Energy Rapidfire CLASS8 T1,SHIP_WEAPONS,ENERGY,CLASS8,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,,,
energy-rapidfire-ttn-t1,Energy Rapidfire TTN T1,SHIP_WEAPONS,ENERGY,TTN,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,,,
energy-cannon-xxxs-t1,Energy Cannon XXXS T1,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,,,
energy-cannon-xxs-t1,Energy Cannon XXS T1,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,,,
