OutputID,OutputName,OutputType,ComponentCategory,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
energy-rapidfire-xxxs,Energy Rapidfire XXXS,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,,,
energy-rapidfire-xxs,Energy Rapidfire XXS,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,,,
energy-rapidfire-xs,Energy Rapidfire XS,SHIP_WEAPONS,ENERGY,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,,,
energy-rapidfire-s,Energy Rapidfire S,SHIP_WEAPONS,ENERGY,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Rapidfire Controller,1,Targeting Matrix,1,,,,,,,,,,,,,,,,
energy-rapidfire-m,Energy Rapidfire M,SHIP_WEAPONS,ENERGY,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Military Energy Array,1,Enhanced Energy Core,1,Rapidfire Controller,1,,,,,,,,,,,,,,,,
energy-rapidfire-l,Energy Rapidfire L,SHIP_WEAPONS,ENERGY,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,,,
energy-rapidfire-cap,Energy Rapidfire CAP,SHIP_WEAPONS,ENERGY,CAP,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,,,
energy-rapidfire-cmd,Energy Rapidfire CMD,SHIP_WEAPONS,ENERGY,CMD,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-rapidfire-class8,Energy Rapidfire CLASS8,SHIP_WEAPONS,ENERGY,CLASS8,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,,,
energy-rapidfire-ttn,Energy Rapidfire TTN,SHIP_WEAPONS,ENERGY,TTN,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,,,
energy-cannon-xxxs,Energy Cannon XXXS,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,,,
energy-cannon-xxs,Energy Cannon XXS,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Cannon Breech,1,,,,,,,,,,,,,,,,,,
energy-cannon-xs,Energy Cannon XS,SHIP_WEAPONS,ENERGY,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,,,
energy-cannon-s,Energy Cannon S,SHIP_WEAPONS,ENERGY,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Cannon Breech,1,Heavy Targeting,1,,,,,,,,,,,,,,,,
energy-cannon-m,Energy Cannon M,SHIP_WEAPONS,ENERGY,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Military Energy Array,1,Enhanced Energy Core,1,Cannon Breech,1,,,,,,,,,,,,,,,,
energy-cannon-l,Energy Cannon L,SHIP_WEAPONS,ENERGY,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,,,
energy-cannon-cap,Energy Cannon CAP,SHIP_WEAPONS,ENERGY,CAP,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,,,
energy-cannon-cmd,Energy Cannon CMD,SHIP_WEAPONS,ENERGY,CMD,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,Military Energy Array,1,,,,,,,,,,,,,,
energy-cannon-class8,Energy Cannon CLASS8,SHIP_WEAPONS,ENERGY,CLASS8,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,Quantum Energy System,1,,,,,,,,,,,,,,
energy-cannon-ttn,Energy Cannon TTN,SHIP_WEAPONS,ENERGY,TTN,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,5,Singularity Energy Core,1,Titan Energy Matrix,1,Battleship Energy Core,1,Capital Energy Grid,1,,,,,,,,,,,,,,
energy-scatterfire-xxxs,Energy Scatterfire XXXS,SHIP_WEAPONS,ENERGY,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Scatterfire Controller,1,,,,,,,,,,,,,,,,,,
energy-scatterfire-xxs,Energy Scatterfire XXS,SHIP_WEAPONS,ENERGY,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Energy Payload Kit,1,Scatterfire Controller,1,,,,,,,,,,,,,,,,,,
energy-scatterfire-xs,Energy Scatterfire XS,SHIP_WEAPONS,ENERGY,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Scatterfire Controller,1,Spread Targeting,1,,,,,,,,,,,,,,,,
energy-scatterfire-s,Energy Scatterfire S,SHIP_WEAPONS,ENERGY,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Enhanced Energy Core,1,Scatterfire Controller,1,Spread Targeting,1,,,,,,,,,,,,,,,,
energy-scatterfire-m,Energy Scatterfire M,SHIP_WEAPONS,ENERGY,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Military Energy Array,1,Enhanced Energy Core,1,Scatterfire Controller,1,,,,,,,,,,,,,,,,
energy-scatterfire-l,Energy Scatterfire L,SHIP_WEAPONS,ENERGY,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Quantum Energy System,1,Military Energy Array,1,Enhanced Energy Core,1,,,,,,,,,,,,,,,,
