OutputID,OutputName,OutputType,ComponentCategory,Size,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 28,Column 29,Column 30,Column 31
mine-xxxs,Mine XXXS,COUNTERMEASURES,DEFENSIVE,XXXS,1,60,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,2,Explosive Charge,1,Proximity Sensor,1,,,,,,,,,,,,,,,,,,
mine-xxs,Mine XXS,COUNTERMEASURES,DEFENSIVE,XXS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,2,Explosive Charge,1,Proximity Sensor,1,,,,,,,,,,,,,,,,,,
mine-xs,Mine XS,COUNTERMEASURES,DEFENSIVE,XS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Enhanced Mine Core,1,Targeting System,1,Proximity Sensor,1,,,,,,,,,,,,,,,,
mine-s,Mine S,COUNTERMEASURES,DEFENSIVE,S,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Enhanced Mine Core,1,Targeting System,1,Proximity Sensor,1,,,,,,,,,,,,,,,,
mine-m,Mine M,COUNTERMEASURES,DEFENSIVE,M,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Military Mine Array,1,Enhanced Mine Core,1,Targeting System,1,,,,,,,,,,,,,,,,
mine-l,Mine L,COUNTERMEASURES,DEFENSIVE,L,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Quantum Mine Network,1,Military Mine Array,1,Enhanced Mine Core,1,,,,,,,,,,,,,,,,
mine-cap,Mine CAP,COUNTERMEASURES,DEFENSIVE,CAP,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,3,Capital Defense Grid,1,Quantum Mine Network,1,Military Mine Array,1,,,,,,,,,,,,,,,,
mine-cmd,Mine CMD,COUNTERMEASURES,DEFENSIVE,CMD,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Battleship Mine System,1,Capital Defense Grid,1,Quantum Mine Network,1,Military Mine Array,1,,,,,,,,,,,,,,
mine-class8,Mine CLASS8,COUNTERMEASURES,DEFENSIVE,CLASS8,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Titan Mine Matrix,1,Battleship Mine System,1,Capital Defense Grid,1,Quantum Mine Network,1,,,,,,,,,,,,,,
mine-ttn,Mine TTN,COUNTERMEASURES,DEFENSIVE,TTN,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,4,Singularity Mine Core,1,Titan Mine Matrix,1,Battleship Mine System,1,Capital Defense Grid,1,,,,,,,,,,,,,,
