OutputID	OutputName	OutputType	OutputTier	ConstructionTime	PlanetTypes	Factions	ResourceType	ProductionSteps	Ingredient1	Quantity1	Ingredient2	Quantity2	Ingredient3	Quantity3	Ingredient4	Quantity4	Ingredient5	Quantity5	Ingredient6	Quantity6	Ingredient7	Quantity7	Ingredient8	Quantity8

# CENTRAL HUB (T1 uses raw materials, T2+ uses processed)
barren-central-hub-t1	Central Hub	BUILDING	1	0	Barren Planet	MUD;ONI;USTUR	Infrastructure	0	Auto-Built	0														
barren-central-hub-t2	Central Hub	BUILDING	2	300	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	25	Krypton Systems	20	Copper	15								
barren-central-hub-t3	Central Hub	BUILDING	3	450	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	40	Metal Framework	35	Krypton Systems	28	Copper	20	Tin	15	Zinc	12				
barren-central-hub-t4	Central Hub	BUILDING	4	600	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	50	Metal Framework	45	Krypton Systems	35	Copper	25	Tin	20	Zinc	18	Composite Plating	10		
barren-central-hub-t5	Central Hub	BUILDING	5	750	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	60	Metal Framework	55	Krypton Systems	45	Copper	35	Tin	28	Zinc	25	Composite Plating	15		

# HUBS (T1 uses raw materials for bootstrap, T2+ uses processed)
barren-processing-hub-t1	Processing Hub	BUILDING	1	120	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco	25	Copper Ore	18	Tin Ore	12										
barren-processing-hub-t2	Processing Hub	BUILDING	2	180	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Copper	12								
barren-processing-hub-t3	Processing Hub	BUILDING	3	240	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	35	Metal Framework	28	Krypton Systems	20	Copper	15	Tin	12	Zinc	10				
barren-processing-hub-t4	Processing Hub	BUILDING	4	360	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	45	Metal Framework	35	Krypton Systems	28	Copper	20	Tin	18	Zinc	15	Composite Plating	8		
barren-processing-hub-t5	Processing Hub	BUILDING	5	480	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	55	Metal Framework	45	Krypton Systems	35	Copper	25	Tin	25	Zinc	20	Composite Plating	12		

barren-extraction-hub-t1	Extraction Hub	BUILDING	1	120	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco	25	Copper Ore	18	Tin Ore	12										
barren-extraction-hub-t2	Extraction Hub	BUILDING	2	180	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	30	Metal Framework	22	Krypton Systems	15	Copper	12								
barren-extraction-hub-t3	Extraction Hub	BUILDING	3	240	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	35	Metal Framework	28	Krypton Systems	20	Copper	15	Tin	12	Zinc	10				
barren-extraction-hub-t4	Extraction Hub	BUILDING	4	360	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	45	Metal Framework	35	Krypton Systems	28	Copper	20	Tin	18	Zinc	15	Composite Plating	8		
barren-extraction-hub-t5	Extraction Hub	BUILDING	5	480	Barren Planet	MUD;ONI;USTUR	Infrastructure	1	Arco Panels	55	Metal Framework	45	Krypton Systems	35	Copper	25	Tin	25	Zinc	20	Composite Plating	12		

